"checking_account";"duration_months";"credit_history";"purpose";"credit_amount";"savings";"present_employment_since";"installment_rate";"personal_status_sex";"other_deptors";"present_residence";"property";"age_years";"other_installment_plans";"housing";"existing_credits";"job";"people_liable_maintenance";"telephone";"foreign_worker";"response";"gender"
"0 <= ... <  102 euro";48;"existing credits paid back duly till now";"radio/television";5951;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";2;"real estate";22;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"car (new)";1295;"... <  51 euro";"... < 1 year";3;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";25;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";48;"existing credits paid back duly till now";"business";4308;"... <  51 euro";"... < 1 year";3;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";24;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"radio/television";1567;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";22;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";15;"existing credits paid back duly till now";"car (new)";1403;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";28;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";24;"existing credits paid back duly till now";"radio/television";1282;"51 <= ... <  255 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";32;"none";"own";1;"unskilled - resident";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";24;"existing credits paid back duly till now";"car (used)";12579;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";2;"unknown / no property";44;"none";"for free";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
">= 102 euro";12;"all credits at this bank paid back duly";"radio/television";409;".. >= 511 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";3;"real estate";42;"none";"rent";2;"skilled employee / official";1;"none";"yes";0;"female"
">= 102 euro";12;"existing credits paid back duly till now";"furniture/equipment";1474;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"(if not real estate) building society savings agreement/ life insurance";33;"bank";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";48;"critical account/other credits existing (not at this bank)";"car (used)";6143;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"unknown / no property";58;"stores";"for free";2;"unskilled - resident";1;"none";"yes";1;"female"
"No checking account";11;"critical account/other credits existing (not at this bank)";"car (new)";1393;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";35;"none";"own";2;"management/ self-employed/highly qualified employee/ officer";1;"none";"yes";0;"female"
"... <  0 euro";6;"existing credits paid back duly till now";"car (used)";1352;"255 euro <= ... < 511 euro";"unemployed";1;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";23;"none";"rent";1;"unemployed/ unskilled  - non-resident";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";12;"existing credits paid back duly till now";"radio/television";2073;"51 <= ... <  255 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"co-applicant";2;"real estate";28;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";36;"critical account/other credits existing (not at this bank)";"radio/television";9566;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";31;"stores";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
">= 102 euro";18;"existing credits paid back duly till now";"car (new)";1961;"... <  51 euro";".. >= 7 years";3;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";23;"none";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"none";"yes";0;"female"
"... <  0 euro";36;"critical account/other credits existing (not at this bank)";"furniture/equipment";6229;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"co-applicant";4;"unknown / no property";23;"none";"rent";2;"unskilled - resident";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";24;"existing credits paid back duly till now";"radio/television";3181;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";26;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";12;"existing credits paid back duly till now";"radio/television";2171;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";29;"bank";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";36;"existing credits paid back duly till now";"radio/television";2394;"unknown/ no savings account";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";25;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";36;"existing credits paid back duly till now";"car (used)";8133;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";30;"bank";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";42;"critical account/other credits existing (not at this bank)";"business";5954;"... <  51 euro";"4  <= ... < 7 years";2;"female : divorced/separated/married";"none";1;"real estate";41;"bank";"own";2;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";24;"existing credits paid back duly till now";"radio/television";5943;"unknown/ no savings account";"... < 1 year";1;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";44;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";18;"existing credits paid back duly till now";"business";1568;"51 <= ... <  255 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";24;"none";"rent";1;"unskilled - resident";1;"none";"yes";0;"female"
"... <  0 euro";24;"existing credits paid back duly till now";"others";1755;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"guarantor";4;"real estate";58;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"business";1412;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"guarantor";2;"real estate";29;"none";"own";2;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";18;"critical account/other credits existing (not at this bank)";"furniture/equipment";1295;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"(if not real estate) building society savings agreement/ life insurance";27;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"radio/television";797;"unknown/ no savings account";".. >= 7 years";4;"female : divorced/separated/married";"none";3;"(if not real estate) building society savings agreement/ life insurance";33;"bank";"own";1;"unskilled - resident";2;"none";"yes";1;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"education";2012;"unknown/ no savings account";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";61;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";6;"delay in paying off in the past";"radio/television";932;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";2;"real estate";24;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";24;"existing credits paid back duly till now";"furniture/equipment";7721;"unknown/ no savings account";"... < 1 year";1;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";30;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"no";0;"female"
">= 102 euro";15;"existing credits paid back duly till now";"education";392;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";23;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";36;"critical account/other credits existing (not at this bank)";"car (new)";7855;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"real estate";25;"stores";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"... <  0 euro";42;"existing credits paid back duly till now";"radio/television";7174;"unknown/ no savings account";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";30;"none";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"... <  0 euro";10;"critical account/other credits existing (not at this bank)";"furniture/equipment";2132;"unknown/ no savings account";"... < 1 year";2;"female : divorced/separated/married";"co-applicant";3;"real estate";27;"none";"rent";2;"skilled employee / official";1;"none";"no";0;"female"
"... <  0 euro";33;"critical account/other credits existing (not at this bank)";"furniture/equipment";4281;"255 euro <= ... < 511 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";23;"none";"own";2;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";21;"existing credits paid back duly till now";"radio/television";1835;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";2;"real estate";25;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";24;"critical account/other credits existing (not at this bank)";"car (used)";3868;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";41;"none";"rent";2;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";18;"existing credits paid back duly till now";"furniture/equipment";1924;"unknown/ no savings account";"... < 1 year";4;"female : divorced/separated/married";"none";3;"real estate";27;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";12;"critical account/other credits existing (not at this bank)";"car (new)";3499;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"co-applicant";2;"real estate";29;"none";"own";2;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";48;"existing credits paid back duly till now";"car (new)";8487;"unknown/ no savings account";"4  <= ... < 7 years";1;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";24;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";60;"existing credits paid back duly till now";"radio/television";10144;"51 <= ... <  255 euro";"4  <= ... < 7 years";2;"female : divorced/separated/married";"none";4;"real estate";21;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"radio/television";1240;"unknown/ no savings account";".. >= 7 years";4;"female : divorced/separated/married";"none";2;"real estate";38;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
">= 102 euro";12;"existing credits paid back duly till now";"radio/television";1881;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";44;"none";"rent";1;"unskilled - resident";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";36;"existing credits paid back duly till now";"radio/television";4795;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"unknown / no property";30;"none";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";21;"critical account/other credits existing (not at this bank)";"furniture/equipment";2288;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";23;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";6;"critical account/other credits existing (not at this bank)";"car (new)";860;"... <  51 euro";".. >= 7 years";1;"female : divorced/separated/married";"none";4;"unknown / no property";39;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"car (new)";682;"51 <= ... <  255 euro";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";51;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";24;"critical account/other credits existing (not at this bank)";"car (used)";7758;".. >= 511 euro";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"unknown / no property";29;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"furniture/equipment";1282;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";20;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"car (new)";1055;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"(if not real estate) building society savings agreement/ life insurance";30;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";18;"existing credits paid back duly till now";"furniture/equipment";1131;"... <  51 euro";"unemployed";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";33;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";11;"existing credits paid back duly till now";"furniture/equipment";1577;".. >= 511 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"real estate";20;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";24;"existing credits paid back duly till now";"furniture/equipment";3972;"... <  51 euro";"4  <= ... < 7 years";2;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";25;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";12;"existing credits paid back duly till now";"furniture/equipment";763;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";1;"real estate";26;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";24;"delay in paying off in the past";"furniture/equipment";2064;"... <  51 euro";"unemployed";3;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";34;"none";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";30;"all credits at this bank paid back duly";"car (used)";7485;"unknown/ no savings account";"unemployed";4;"female : divorced/separated/married";"none";1;"real estate";53;"bank";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"0 <= ... <  102 euro";9;"all credits at this bank paid back duly";"car (used)";5129;"... <  51 euro";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"unknown / no property";74;"bank";"for free";1;"management/ self-employed/highly qualified employee/ officer";2;"yes, registered under the customers name";"yes";1;"female"
"0 <= ... <  102 euro";18;"no credits taken/ all credits paid back duly";"furniture/equipment";3244;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";33;"bank";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";9;"critical account/other credits existing (not at this bank)";"education";1501;"... <  51 euro";".. >= 7 years";2;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";34;"none";"own";2;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";6;"critical account/other credits existing (not at this bank)";"radio/television";1382;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";28;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"furniture/equipment";951;"51 <= ... <  255 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";27;"bank";"rent";4;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";36;"existing credits paid back duly till now";"radio/television";3835;"unknown/ no savings account";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"real estate";45;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";6;"critical account/other credits existing (not at this bank)";"retraining";932;"unknown/ no savings account";"4  <= ... < 7 years";1;"female : divorced/separated/married";"none";3;"(if not real estate) building society savings agreement/ life insurance";39;"none";"own";2;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";10;"existing credits paid back duly till now";"car (new)";1364;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";64;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"education";1200;"unknown/ no savings account";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";23;"bank";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"radio/television";1291;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";35;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";24;"existing credits paid back duly till now";"car (new)";915;"unknown/ no savings account";".. >= 7 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";29;"bank";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"business";1185;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";2;"real estate";27;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";12;"all credits at this bank paid back duly";"retraining";3447;"255 euro <= ... < 511 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";3;"real estate";35;"none";"own";1;"unskilled - resident";2;"none";"yes";0;"female"
"No checking account";18;"existing credits paid back duly till now";"radio/television";433;"... <  51 euro";"unemployed";3;"female : divorced/separated/married";"co-applicant";4;"real estate";22;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";6;"critical account/other credits existing (not at this bank)";"car (new)";666;".. >= 511 euro";"4  <= ... < 7 years";3;"female : divorced/separated/married";"none";4;"real estate";39;"none";"own";2;"unskilled - resident";1;"yes, registered under the customers name";"yes";0;"female"
">= 102 euro";12;"existing credits paid back duly till now";"furniture/equipment";2251;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";46;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";30;"existing credits paid back duly till now";"car (new)";2150;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"guarantor";2;"unknown / no property";24;"bank";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";15;"existing credits paid back duly till now";"car (used)";3812;"51 <= ... <  255 euro";"... < 1 year";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";23;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";11;"critical account/other credits existing (not at this bank)";"radio/television";1154;"51 <= ... <  255 euro";"unemployed";4;"female : divorced/separated/married";"none";4;"real estate";57;"none";"own";3;"unskilled - resident";1;"none";"yes";0;"female"
