"checking_account";"duration_months";"credit_history";"purpose";"credit_amount";"savings";"present_employment_since";"installment_rate";"personal_status_sex";"other_deptors";"present_residence";"property";"age_years";"other_installment_plans";"housing";"existing_credits";"job";"people_liable_maintenance";"telephone";"foreign_worker";"response";"gender"
"... <  0 euro";24;"existing credits paid back duly till now";"radio/television";1603;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";55;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"education";2748;"... <  51 euro";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"unknown / no property";57;"bank";"for free";3;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";24;"existing credits paid back duly till now";"radio/television";1533;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";38;"stores";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";12;"critical account/other credits existing (not at this bank)";"furniture/equipment";1402;"255 euro <= ... < 511 euro";"4  <= ... < 7 years";3;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";37;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"radio/television";2404;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";6;"existing credits paid back duly till now";"furniture/equipment";4611;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";32;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";47;"existing credits paid back duly till now";"car (new)";10722;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";1;"real estate";35;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"radio/television";1092;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"guarantor";4;"real estate";49;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";24;"critical account/other credits existing (not at this bank)";"car (used)";6419;"... <  51 euro";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"unknown / no property";44;"none";"for free";2;"management/ self-employed/highly qualified employee/ officer";2;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";48;"existing credits paid back duly till now";"furniture/equipment";9960;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";12;"existing credits paid back duly till now";"car (used)";4675;"unknown/ no savings account";"... < 1 year";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";20;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";6;"existing credits paid back duly till now";"car (new)";672;"... <  51 euro";"unemployed";1;"female : divorced/separated/married";"none";4;"real estate";54;"none";"own";1;"unemployed/ unskilled  - non-resident";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";36;"no credits taken/ all credits paid back duly";"radio/television";3804;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";42;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";30;"existing credits paid back duly till now";"car (used)";4811;"unknown/ no savings account";"4  <= ... < 7 years";2;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";24;"stores";"rent";1;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";8;"existing credits paid back duly till now";"furniture/equipment";1237;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";4;"real estate";24;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
">= 102 euro";24;"existing credits paid back duly till now";"furniture/equipment";3749;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";24;"existing credits paid back duly till now";"furniture/equipment";4351;"unknown/ no savings account";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";48;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";15;"delay in paying off in the past";"furniture/equipment";3643;"... <  51 euro";".. >= 7 years";1;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";27;"none";"own";2;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"car (new)";1028;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";3;"real estate";36;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";24;"existing credits paid back duly till now";"car (new)";1525;".. >= 511 euro";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";34;"none";"own";1;"skilled employee / official";2;"yes, registered under the customers name";"yes";0;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"education";1864;"51 <= ... <  255 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"real estate";30;"none";"own";2;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";60;"existing credits paid back duly till now";"car (new)";7408;"51 <= ... <  255 euro";"... < 1 year";4;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";24;"none";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"none";"yes";1;"female"
"No checking account";48;"critical account/other credits existing (not at this bank)";"car (used)";11590;"51 <= ... <  255 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";24;"bank";"rent";2;"unskilled - resident";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";13;"existing credits paid back duly till now";"radio/television";2101;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"guarantor";4;"(if not real estate) building society savings agreement/ life insurance";23;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"... <  0 euro";15;"existing credits paid back duly till now";"domestic appliances";1275;"unknown/ no savings account";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";24;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";24;"critical account/other credits existing (not at this bank)";"education";5743;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"none";4;"unknown / no property";24;"none";"for free";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";21;"existing credits paid back duly till now";"furniture/equipment";3599;"... <  51 euro";"4  <= ... < 7 years";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"rent";1;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";15;"critical account/other credits existing (not at this bank)";"radio/television";1459;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";43;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";24;"existing credits paid back duly till now";"radio/television";3758;"255 euro <= ... < 511 euro";"unemployed";1;"female : divorced/separated/married";"none";4;"unknown / no property";23;"none";"rent";1;"unemployed/ unskilled  - non-resident";1;"none";"yes";0;"female"
"No checking account";9;"existing credits paid back duly till now";"domestic appliances";1236;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";4;"real estate";23;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";9;"existing credits paid back duly till now";"furniture/equipment";959;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";29;"none";"own";1;"skilled employee / official";1;"none";"no";1;"female"
"... <  0 euro";30;"existing credits paid back duly till now";"furniture/equipment";2406;"... <  51 euro";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";4;"real estate";23;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
">= 102 euro";12;"delay in paying off in the past";"car (new)";2247;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";36;"stores";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";18;"existing credits paid back duly till now";"furniture/equipment";3650;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";22;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";18;"existing credits paid back duly till now";"furniture/equipment";3001;"... <  51 euro";"4  <= ... < 7 years";2;"female : divorced/separated/married";"none";4;"real estate";40;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";10;"critical account/other credits existing (not at this bank)";"furniture/equipment";2146;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";3;"real estate";23;"none";"rent";2;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";60;"all credits at this bank paid back duly";"others";14782;"51 <= ... <  255 euro";".. >= 7 years";3;"female : divorced/separated/married";"none";4;"unknown / no property";60;"bank";"for free";2;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"... <  0 euro";48;"all credits at this bank paid back duly";"business";7685;"... <  51 euro";"4  <= ... < 7 years";2;"female : divorced/separated/married";"guarantor";4;"(if not optin 1 or 2) car or other, not in attribute";37;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";6;"critical account/other credits existing (not at this bank)";"car (new)";362;"51 <= ... <  255 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";52;"none";"own";2;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";18;"existing credits paid back duly till now";"car (used)";12976;"... <  51 euro";"unemployed";3;"female : divorced/separated/married";"none";4;"unknown / no property";38;"none";"for free";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";22;"existing credits paid back duly till now";"car (new)";1283;"unknown/ no savings account";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";25;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"radio/television";2238;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";25;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";18;"existing credits paid back duly till now";"radio/television";1126;"unknown/ no savings account";"... < 1 year";4;"female : divorced/separated/married";"none";2;"real estate";21;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";9;"existing credits paid back duly till now";"business";1449;"... <  51 euro";"4  <= ... < 7 years";3;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";27;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"furniture/equipment";983;".. >= 511 euro";"... < 1 year";1;"female : divorced/separated/married";"none";4;"real estate";19;"none";"rent";1;"unskilled - resident";1;"none";"yes";0;"female"
"... <  0 euro";6;"critical account/other credits existing (not at this bank)";"radio/television";1957;"... <  51 euro";"4  <= ... < 7 years";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";31;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"furniture/equipment";2578;"... <  51 euro";"unemployed";3;"female : divorced/separated/married";"none";4;"unknown / no property";55;"none";"for free";1;"management/ self-employed/highly qualified employee/ officer";1;"none";"yes";0;"female"
"No checking account";24;"critical account/other credits existing (not at this bank)";"radio/television";1516;".. >= 511 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";1;"real estate";43;"none";"own";2;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";24;"existing credits paid back duly till now";"radio/television";1967;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";20;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";24;"existing credits paid back duly till now";"car (new)";1381;"unknown/ no savings account";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";35;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";18;"delay in paying off in the past";"education";8471;"unknown/ no savings account";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";23;"none";"rent";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";21;"existing credits paid back duly till now";"car (new)";2782;"255 euro <= ... < 511 euro";"4  <= ... < 7 years";1;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";31;"bank";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";18;"existing credits paid back duly till now";"car (new)";1042;"unknown/ no savings account";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";33;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"No checking account";15;"existing credits paid back duly till now";"car (new)";3186;".. >= 511 euro";"4  <= ... < 7 years";2;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";20;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"furniture/equipment";2762;"unknown/ no savings account";".. >= 7 years";1;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";25;"bank";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"... <  0 euro";18;"critical account/other credits existing (not at this bank)";"repairs";1190;"... <  51 euro";"unemployed";2;"female : divorced/separated/married";"none";4;"unknown / no property";55;"none";"for free";3;"unemployed/ unskilled  - non-resident";2;"none";"yes";1;"female"
"No checking account";24;"critical account/other credits existing (not at this bank)";"car (new)";1287;".. >= 511 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"real estate";37;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
">= 102 euro";12;"all credits at this bank paid back duly";"business";609;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"real estate";26;"none";"own";1;"unemployed/ unskilled  - non-resident";1;"none";"yes";1;"female"
"... <  0 euro";12;"existing credits paid back duly till now";"furniture/equipment";1620;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"co-applicant";3;"(if not real estate) building society savings agreement/ life insurance";30;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";48;"critical account/other credits existing (not at this bank)";"furniture/equipment";5096;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";30;"none";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";9;"critical account/other credits existing (not at this bank)";"education";1244;"unknown/ no savings account";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";41;"none";"rent";2;"unskilled - resident";1;"none";"yes";0;"female"
"... <  0 euro";36;"existing credits paid back duly till now";"car (new)";1842;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";34;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
">= 102 euro";12;"existing credits paid back duly till now";"furniture/equipment";1424;"unknown/ no savings account";".. >= 7 years";3;"female : divorced/separated/married";"none";4;"real estate";55;"none";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";6;"existing credits paid back duly till now";"radio/television";518;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";1;"real estate";29;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";24;"existing credits paid back duly till now";"car (used)";2679;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"unknown / no property";29;"none";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";6;"existing credits paid back duly till now";"domestic appliances";343;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";1;"real estate";27;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"furniture/equipment";3017;"... <  51 euro";"... < 1 year";3;"female : divorced/separated/married";"none";1;"real estate";34;"none";"rent";1;"management/ self-employed/highly qualified employee/ officer";1;"none";"yes";0;"female"
"... <  0 euro";24;"delay in paying off in the past";"radio/television";1659;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";29;"none";"rent";1;"unskilled - resident";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";33;"delay in paying off in the past";"business";2764;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";6;"existing credits paid back duly till now";"education";448;"... <  51 euro";"... < 1 year";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";23;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";18;"no credits taken/ all credits paid back duly";"furniture/equipment";3114;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";26;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";12;"critical account/other credits existing (not at this bank)";"radio/television";3573;"... <  51 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";1;"real estate";23;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"... <  0 euro";30;"existing credits paid back duly till now";"furniture/equipment";3622;".. >= 511 euro";".. >= 7 years";4;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";57;"none";"rent";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";15;"delay in paying off in the past";"furniture/equipment";960;".. >= 511 euro";"4  <= ... < 7 years";3;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";30;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";24;"existing credits paid back duly till now";"car (new)";3757;"... <  51 euro";".. >= 7 years";4;"female : divorced/separated/married";"co-applicant";4;"unknown / no property";62;"none";"for free";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";27;"no credits taken/ all credits paid back duly";"business";8318;"... <  51 euro";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"unknown / no property";42;"none";"for free";2;"management/ self-employed/highly qualified employee/ officer";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";6;"critical account/other credits existing (not at this bank)";"radio/television";1237;"51 <= ... <  255 euro";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";1;"(if not real estate) building society savings agreement/ life insurance";27;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
